,width,height,class,xmin,ymin,xmax,ymax
0,1440,960,AG600,284,447,1294,748
1,900,442,JAS39,59,112,821,331
2,1088,725,V22,209,201,836,616
3,1280,715,C5,135,221,1251,505
4,900,599,Rafale,26,135,864,446
5,1334,863,XB70,401,437,752,612
6,1300,868,E2,215,140,1300,545
7,1536,2048,C17,691,653,883,833
8,1200,800,V22,410,524,613,601
9,1024,682,F117,86,200,987,501
10,1200,797,A10,302,205,588,473
11,2048,1093,MQ9,856,394,1519,681
12,1920,1172,B1,197,425,1877,785
13,2953,1788,F16,1235,229,2182,1444
14,2953,1788,F16,176,768,1471,1233
15,2100,1400,US2,315,401,1797,864
16,1200,800,V22,36,1,1173,570
17,1200,800,A10,8,581,500,699
18,1200,800,A10,403,577,768,678
19,1200,800,A10,710,584,1018,669
20,465,312,US2,92,95,228,185
21,465,312,US2,268,174,389,240
22,1200,797,A10,415,314,596,431
23,1024,683,C130,473,86,542,176
24,1024,683,F16,480,245,511,267
25,1024,683,F16,488,299,518,319
26,1280,854,F4,89,381,532,527
27,1280,854,F4,658,373,1094,531
28,4096,2726,F15,2357,1597,3112,1936
29,4096,2726,F15,840,1513,1870,1980
30,1200,675,US2,205,336,509,491
31,1200,675,US2,962,173,1063,243
32,1200,675,US2,424,10,764,145
33,2048,1536,Mirage2000,127,389,1620,1107
34,2048,1536,Mirage2000,829,744,2016,1393
35,4096,2731,F35,146,1395,823,1934
36,4096,2731,F35,1219,908,2134,1525
37,4096,2731,F35,3147,1105,3981,1857
38,900,560,Su34,755,286,894,356
39,900,560,Su34,24,33,876,422
40,5770,3847,A10,2756,366,2996,544
41,5770,3847,A10,2609,795,2844,964
42,1200,800,Su34,88,115,762,626
43,1200,799,US2,206,508,281,541
44,4096,2720,F35,2320,686,3117,1155
45,4096,2720,F22,1176,985,2578,1834
46,1200,800,V22,314,145,1012,407
47,1536,2048,F16,1075,773,1114,828
48,1536,2048,F16,651,848,690,900
49,1536,2048,F16,698,1416,735,1462
50,1536,2048,F16,694,1543,729,1586
51,1200,798,Be200,1,271,1145,536
52,720,720,V22,280,42,720,370
53,819,1024,F14,309,493,462,664
54,819,1024,F14,584,606,731,767
55,2560,1701,U2,306,411,2370,1008
56,2000,1333,RQ4,1,494,2000,986
57,1536,1098,A10,497,226,699,277
58,3600,2017,C17,96,47,3600,2017
59,1200,800,C17,74,25,1200,438
60,1200,800,F15,158,403,721,630
61,2048,1365,JAS39,718,526,1756,1070
62,960,640,C5,251,100,679,572
63,1000,650,B2,355,152,1000,312
64,900,1200,V22,1,496,710,826
65,900,1200,V22,417,642,847,778
66,1280,852,C130,659,144,1122,309
67,1600,1043,F117,165,910,496,1013
68,1600,1043,F16,35,744,234,840
69,1600,1043,F16,158,735,260,827
70,1600,1043,F16,376,735,625,825
71,1600,1043,F16,1325,744,1563,835
72,1600,1043,F117,616,59,751,110
73,1920,1281,F16,119,286,529,411
74,1920,1281,Rafale,483,360,890,500
75,1920,1281,Mirage2000,903,418,1282,546
76,1920,1281,F16,1412,454,1800,571
77,1920,1281,Rafale,1096,632,1482,759
78,1920,1281,F16,780,799,1147,906
79,1920,1281,Mirage2000,647,977,994,1096
80,1200,681,US2,1,115,1200,445
81,1200,900,C130,346,360,721,502
82,1200,801,A10,367,304,511,399
83,1200,801,A10,550,316,693,406
84,1200,801,A10,756,250,888,344
85,1200,801,A10,938,167,1070,261
86,910,654,SR71,1,141,910,499
87,2100,1500,AV8B,43,595,1617,1080
88,640,480,XB70,84,251,528,383
89,1200,800,US2,339,180,868,602
90,2048,1462,F16,807,495,1216,1124
91,2048,1462,F16,1109,274,1153,340
92,1024,576,EF2000,407,262,490,318
93,4096,2304,JAS39,1,554,4096,2292
94,1080,788,F15,2,51,1050,475
95,1280,834,F22,217,82,1201,613
96,1920,803,B1,102,121,1869,573
97,1920,803,B1,269,106,1752,485
