,width,height,class,xmin,ymin,xmax,ymax
0,1440,960,AG600,284,447,1294,748
1,1048,880,AG600,25,147,727,354
2,1620,1080,AG600,114,179,1468,799
3,1920,1298,AG600,13,1,1920,1159
4,1080,720,AG600,209,284,911,480
5,1024,768,AG600,158,181,1024,464
6,1024,683,AG600,294,430,689,541
7,1620,1080,AG600,626,610,936,689
8,1080,720,AG600,170,275,900,481
9,1080,1078,AG600,1,1,1080,628
10,1080,674,AG600,23,221,1006,540
11,1000,666,AG600,131,103,788,312
12,554,369,AG600,89,11,554,226
13,1920,1081,AG600,1141,314,1908,648
14,1280,720,AG600,379,235,1113,415
15,1920,1214,AG600,212,309,1636,974
16,1080,720,AG600,134,235,925,538
17,2048,1365,AG600,848,310,1803,646
18,2000,1334,AG600,216,398,1955,1077
19,1919,1067,AG600,110,397,1752,794
20,1080,720,AG600,207,275,663,390
21,1920,869,AG600,113,224,1761,595
22,1200,800,AG600,181,267,1076,528
23,1280,720,AG600,546,227,1280,480
24,2200,1080,AG600,167,414,2095,914
25,690,1227,AG600,66,532,619,688
26,1000,667,AG600,371,255,639,377
27,1200,675,AG600,258,318,786,477
28,2000,1334,AG600,94,357,1990,925
29,1080,637,AG600,218,342,833,490
30,1620,1080,AG600,174,417,1434,783
31,800,321,AG600,340,200,608,262
32,640,427,AG600,55,69,502,374
33,1920,1080,AG600,850,564,1103,650
34,1280,853,AG600,351,464,1080,688
35,800,391,AG600,295,230,548,295
36,1080,1920,AG600,1,215,1080,734
37,1200,800,AG600,88,100,1140,509
38,1020,574,AG600,171,37,882,262
39,1080,720,AG600,353,320,753,422
40,2200,1080,AG600,714,305,1976,781
41,800,450,AG600,253,167,624,327
42,1024,683,AG600,1,144,1024,551
43,1433,900,AG600,1,153,1433,655
44,1600,1066,AG600,1,123,1476,629
45,900,503,AG600,221,318,622,433
46,4313,2854,AG600,1607,654,3029,1031
47,1200,800,AG600,113,392,1103,670
48,640,324,AG600,49,63,611,223
49,2048,1384,AG600,147,351,1887,1038
50,600,356,AG600,155,57,426,153
51,2000,1334,AG600,86,156,1890,952
52,891,561,AG600,1,284,529,451
53,1920,1049,AG600,413,564,1436,904
54,512,323,AG600,163,155,353,208
55,1200,900,AG600,1,330,1200,786
56,864,486,AG600,239,221,415,271
57,2000,1333,AG600,190,271,1223,1095
58,1200,675,AG600,534,314,976,454
59,1200,800,AG600,42,160,1046,510
60,1920,1080,AG600,485,1,1469,649
61,1333,2000,AG600,194,1192,1179,1631
62,1920,1102,AG600,397,151,1715,899
63,1200,800,AG600,113,143,1038,641
64,1920,1080,AG600,927,375,1178,464
65,1080,618,AG600,1,66,1080,559
66,1228,1344,AG600,1,39,1228,556
67,1200,764,AG600,646,111,930,203
68,1080,810,AG600,44,52,999,263
69,850,478,AG600,174,187,524,315
70,2000,1334,AG600,1,325,2000,997
71,1200,675,AG600,1,93,1186,647
72,2048,1308,AG600,617,411,1815,879
73,1440,1080,AG600,263,276,789,427
74,1620,1080,AG600,811,444,1506,685
75,1440,959,AG600,106,286,1293,763
76,345,258,AG600,53,24,345,258
77,1024,506,AG600,256,40,630,186
78,1280,853,AG600,90,154,1230,569
79,1920,1107,AG600,89,377,1767,835
80,1620,1080,AG600,1,287,1620,860
81,1200,677,AG600,385,297,831,436
82,1200,779,AG600,326,214,753,468
83,2048,1369,AG600,407,570,1005,751
84,2200,1080,AG600,108,286,2191,932
85,1920,1280,AG600,97,178,1920,1220
86,1200,837,AG600,4,23,965,310
87,1080,720,AG600,521,446,834,545
88,728,405,AG600,31,185,288,256
89,985,670,AG600,147,307,735,480
90,1920,1171,AG600,484,205,1292,478
91,2498,1562,AG600,387,242,2031,803
92,1200,800,AG600,321,281,684,395
93,650,398,AG600,48,50,483,214
94,930,615,AG600,240,272,396,327
95,1080,720,AG600,110,149,1080,395
96,1600,1067,AG600,426,335,1272,584
97,800,321,AG600,1,8,742,289
98,1080,720,AG600,32,242,1080,529
99,1080,579,AG600,34,14,1061,254
100,864,486,AG600,340,207,470,252
101,1200,800,AG600,56,166,1141,537
102,1080,720,AG600,21,110,1080,476
103,930,615,AG600,162,141,542,409
104,640,360,AG600,204,126,458,207
105,600,352,AG600,1,146,600,288
106,1280,842,AG600,322,427,805,573
107,889,621,AG600,1,1,889,612
108,2048,1287,AG600,665,492,1321,731
109,1619,1080,AG600,4,310,1541,834
110,889,500,AG600,109,192,841,390
111,1424,800,AG600,46,360,1424,674
112,1000,1000,AG600,130,273,645,493
113,3936,2624,AG600,600,421,2748,1056
114,900,442,JAS39,59,112,821,331
115,2048,1365,JAS39,718,526,1756,1070
116,4096,2304,JAS39,1,554,4096,2292
117,2689,1793,JAS39,420,634,1381,1196
118,2048,1536,JAS39,797,707,949,770
119,1080,1350,JAS39,288,1023,941,1234
120,1080,1350,JAS39,111,671,472,874
121,1080,1350,JAS39,358,405,673,579
122,1080,1350,JAS39,568,222,857,374
123,2000,1334,JAS39,982,603,1939,929
124,2000,1334,JAS39,52,308,1531,1035
125,3627,2268,JAS39,2447,1279,3082,1554
126,3627,2268,JAS39,515,904,1144,1194
127,1080,768,JAS39,302,333,774,587
128,3276,2185,JAS39,719,844,2593,1429
129,1080,1920,JAS39,111,873,441,1167
130,1080,1920,JAS39,494,1201,896,1528
131,1080,1920,JAS39,568,568,1013,934
132,1080,1920,JAS39,180,318,551,648
133,900,605,JAS39,288,195,509,301
134,900,600,JAS39,10,140,881,436
135,3848,2549,JAS39,1057,1449,1914,2055
136,2048,1365,JAS39,679,473,1044,674
137,1280,909,JAS39,737,147,881,259
138,1024,620,JAS39,33,93,1000,552
139,640,427,JAS39,61,145,543,296
140,1440,810,JAS39,257,63,1146,533
141,2048,1236,JAS39,1447,202,1929,458
142,2048,1236,JAS39,1147,508,1864,805
143,2048,1236,JAS39,38,793,1280,1117
144,1024,682,JAS39,155,254,853,498
